ejekcbufrgthgnckleghnnfihrdedrnnlecbnrutcrdh,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,avg events per file ,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a,13032,573419,28663348,,,,numi_run4_rhc_runs,"4a,4b,4c",,,extBNB reco1,not used,not used,,,,,crt merge Done
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b,44144,1841799,92160741,41.72252175,,,,,,,Pndr extunbiased nu,Pandora crt merge Done,crt_merge_extra_v06_26_01_13.fcl (in reco2 Pandora),,,,,
4c,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c,77742,1086278,54241033,13.97285894,,,,,,,WC extunbiased nu,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d,144958,2152781,107689383,14.85106721,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d,,,,,,WC extunbiased dirt,crt merge Done (in reco2),crt_merge_extra_v06_26_01_13.fcl (in reco2 Pandora),,,,,
5,,41629,2480046,,59.57495976,,,,,,,Pndr extunbiased dirt,,,,,,,
5 goodruns,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5,38576,2317232,,60.06926586,,,,,,,NuMI reco1,crt merge Done,crt_merge_extra_v06_26_01_13.fcl,,,,,
,,,,,,,,,,,,,,,,,,,
,BNB Nu Overlay,,,,,,,,,,,extNuMI reco1,,crt merge Done,,but done anyway_33.fcl,,,
Run,Defintion,Files,Events,EXT,ub.random range,ub.random delta,,,,,,extunbiased nu,not used,not used,,,,,
4a validation,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_300k_validation_overlay,7181,309102,15479991,none,,,,,,,extunbiased dirt,not used,not used,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_bnb_nu_overlay,4582,203172,,"[0,0.35)",0.35,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_650k_bnb_nu_overlay,15485,648310,,"[0,0.35)",0.35,,,,,,,crt_merge_extra_v06_26_01_13.fcl,v06_26_01_13_33.fcl,,,,,
4c,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_380k_bnb_nu_overlay,27154,382245,,"[0,0.35)",0.35,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_750k_bnb_nu_overlay,50608,753976,,"[0,0.35)",0.35,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_run5_bnb_nu_overlay,14460,861067,,"[0,0.35)",0.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,BNB dirt Overlay,,,,,,,,,,,,,,,,,,
4a validation,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_300k_validation_overlay,7181,309102,15479991,none,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_bnb_dirt_overlay,730,32464,,"[0.765,0.82)",0.055,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_bnb_dirt_overlay,2481,103066,,"[0.765,0.82)",0.055,,,,,,,,,,,,,
4c,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_bnb_dirt_overlay,4396,61036,,"[0.765,0.82)",0.055,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_bnb_dirt_overlay,7954,117025,,"[0.765,0.82)",0.055,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_run5_bnb_dirt_overlay,2253,134758,,"[0.765,0.82)",0.055,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
