run,subrun,event
19753,45,2268
19757,6,338
19757,57,2877
19757,59,2955
19757,59,2978
19757,61,3086
19757,65,3295
19757,66,3341
19757,66,3347
19757,66,3348
19757,68,3447
19757,69,3489
19757,70,3509
19757,74,3731
19757,75,3755
19757,75,3766
19757,75,3777
19757,76,3826
19757,77,3857
19757,78,3907
19757,78,3909
19757,81,4080
19757,83,4165
19757,85,4271
19757,88,4411
19757,88,4439
19757,89,4477
19757,90,4516
19757,91,4562
19757,92,4608
19757,96,4832
19757,98,4920
19757,98,4937
19757,99,4998
19757,101,5073
19757,101,5081
19757,103,5157
19757,105,5258
19757,106,5348
19757,107,5385
19757,108,5450
19757,109,5479
19757,111,5566
19757,113,5652
19757,113,5687
19757,116,5827
19757,116,5843
19757,119,5952
19757,120,6032
19757,121,6073
19757,121,6085
19757,121,6097
19757,123,6159
19757,124,6220
19757,125,6278
19757,126,6317
19757,126,6319
19757,126,6325
19757,126,6343
19757,127,6362
19757,131,6551
19757,131,6559
19757,132,6626
19757,133,6686
19757,134,6731
19757,134,6741
19757,137,6881
19757,137,6886
19757,138,6906
19757,138,6929
19757,139,6966
19757,139,6976
19757,141,7057
19757,141,7074
19757,141,7097
19757,142,7121
19757,142,7129
19757,142,7143
19760,0,1
19760,0,14
19760,0,32
19760,0,45
19760,2,119
19760,2,135
19760,2,138
19760,3,155
19760,3,157
19760,5,271
19760,5,283
19760,6,332
19760,9,479
19760,10,509
19760,12,634
19760,14,730
19760,15,753
19760,15,762
19760,16,802
19760,17,862
19760,21,1055
19760,21,1061
19760,21,1092
19760,22,1120
19760,22,1127
19760,23,1179
19760,23,1184
19760,24,1209
19760,24,1236
19760,24,1244
19760,25,1259
19760,26,1312
19760,26,1340
19760,27,1374
19760,27,1393
19760,28,1401
19760,28,1423
19760,28,1427
19760,29,1493
19760,30,1503
19760,31,1558
19760,31,1570
19760,32,1621
19760,32,1649
19760,33,1673
19760,33,1688
19760,34,1706
19760,36,1801
19760,37,1856
19760,38,1902
19760,38,1904
19760,38,1906
19760,38,1916
19760,38,1931
19760,38,1946
19760,39,1972
19760,40,2006
19760,40,2009
19760,40,2012
19760,40,2035
19760,41,2078
19760,41,2081
19760,43,2173
19760,43,2184
19760,43,2192
19760,44,2218
19760,44,2219
19760,45,2273
19760,46,2307
19760,46,2312
19760,46,2316
19760,46,2345
19760,46,2348
19760,47,2378
19760,47,2392
19760,48,2425
19760,49,2486
19760,53,2664
19760,54,2703
19760,54,2736
19760,54,2743
19760,55,2795
19760,56,2805
19760,56,2808
19760,56,2828
19760,59,2982
19760,59,2991
19760,61,3070
19760,62,3129
19760,63,3197
19760,65,3267
19760,65,3291
19760,65,3298
19760,66,3334
19760,67,3378
19760,68,3422
19760,69,3455
19760,71,3555
19760,71,3580
19760,72,3618
19760,73,3661
19760,73,3683
19760,73,3694
19760,73,3698
19760,74,3703
19760,75,3755
19760,75,3756
19760,75,3768
19760,75,3790
19760,76,3806
19760,76,3824
19760,76,3832
19760,77,3883
19760,78,3913
19760,78,3916
19760,78,3919
19760,79,3974
19760,80,4033
19760,80,4040
19760,80,4048
19760,82,4113
19760,82,4117
19760,82,4119
19760,85,4264
19760,85,4272
19760,86,4320
19760,86,4333
19760,88,4430
19760,90,4517
19760,90,4534
19760,91,4581
19760,91,4600
19760,92,4614
19760,92,4629
19760,93,4652
19760,93,4657
19760,93,4682
19760,94,4741
19760,94,4746
19760,95,4786
19760,96,4832
19760,98,4915
19760,98,4927
19760,99,4991
19760,99,4993
19760,101,5060
19760,102,5116
19760,102,5118
19760,104,5233
19760,105,5259
19760,108,5431
19760,108,5444
19760,108,5449
19760,109,5480
19760,110,5539
19760,111,5551
19760,111,5561
19760,111,5595
19761,0,23
19761,0,38
19761,1,70
19761,1,84
19761,1,90
19761,3,168
19761,3,187
19761,4,206
19761,5,260
19761,5,264
19761,5,287
19761,7,374
19761,7,398
19761,8,429
19761,8,431
19761,8,442
19761,9,472
19761,9,477
19761,12,609
19761,12,624
19761,12,644
19761,14,719
19761,14,725
19761,14,728
19761,14,738
19761,15,771
19761,15,772
19761,15,783
19761,17,865
19761,17,870
19761,17,886
19761,17,894
19761,18,933
19761,18,941
19761,19,982
19761,19,991
19761,20,1002
19761,20,1022
19761,20,1043
19761,20,1050
19761,21,1062
19761,21,1086
19761,22,1146
19761,23,1178
19761,24,1211
19761,24,1216
19761,25,1255
19761,26,1318
19761,26,1319
19761,27,1364
19761,27,1370
19761,27,1378
19761,28,1423
19761,29,1451
19761,30,1520
19761,30,1546
19761,31,1559
19761,31,1561
19761,31,1600
19761,32,1612
19761,32,1622
19761,32,1636
19761,33,1680
19761,34,1715
19761,34,1727
19761,34,1734
19761,35,1777
19761,35,1794
19761,37,1886
19761,38,1914
19761,38,1928
19761,39,1954
19761,40,2036
19761,42,2118
19761,42,2133
19761,42,2144
19761,43,2177
19761,43,2184
19761,44,2208
19761,44,2210
19761,45,2254
19761,45,2273
19761,45,2275
19761,45,2289
19761,45,2295
19761,46,2317
19761,48,2412
19761,48,2437
19761,49,2483
19761,49,2492
19761,49,2496
19761,51,2556
19761,51,2568
19762,1,95
19762,1,97
19762,2,118
19762,2,133
19762,2,149
19762,3,159
19762,6,301
19762,6,308
19762,6,344
19762,7,355
19762,8,423
19762,9,489
19762,10,516
19762,10,518
19762,11,567
19762,11,578
19762,11,581
19762,12,619
19762,12,644
19762,13,661
19762,13,672
19762,13,682
19762,13,683
19762,15,762
19762,17,852
19762,18,937
19762,21,1064
19762,21,1092
19762,23,1163
19762,23,1172
19762,23,1177
19762,23,1191
19762,24,1244
19762,25,1257
19762,26,1323
19762,30,1511
19762,31,1594
19762,32,1613
19762,32,1616
19762,33,1684
19762,33,1691
19762,34,1747
19762,35,1756
19762,35,1774
19762,35,1786
19762,36,1827
19762,36,1837
19762,37,1891
19762,38,1918
19762,38,1922
19762,38,1936
19762,39,1953
19762,39,1971
19762,39,1974
19762,39,1987
19762,42,2138
19762,43,2198
19762,44,2209
19762,45,2288
19762,46,2335
19762,47,2366
19762,47,2368
19762,48,2439
19762,48,2444
19762,48,2445
19762,49,2485
19762,50,2513
19762,50,2536
19762,50,2546
19762,51,2580
19762,51,2595
19762,51,2596
19762,51,2599
19762,52,2621
19762,52,2637
19762,52,2645
19762,53,2663
19762,53,2675
19762,54,2715
19762,54,2716
19762,54,2726
19762,55,2790
19762,55,2796
19762,56,2822
19762,56,2826
19762,57,2853
19762,57,2878
19762,58,2901
19762,58,2920
19762,58,2921
19762,59,2966
19762,59,2988
19762,60,3016
19762,61,3079
19762,62,3144
19762,63,3188
19762,64,3201
19762,64,3219
19762,64,3239
19762,65,3295
19762,66,3301
19762,66,3317
19762,66,3342
19762,67,3355
19762,67,3383
19762,68,3428
19762,69,3468
19762,70,3515
19762,71,3559
19762,71,3573
19762,71,3580
19763,0,5
19763,0,10
19763,0,37
19763,0,46
19763,2,122
19763,2,139
19763,2,150
19763,3,187
19763,3,189
19763,6,350
19763,7,397
19763,9,472
19763,9,496
19763,10,528
19763,10,540
19763,11,575
19763,12,604
19763,12,647
19763,13,666
19763,13,694
19763,14,728
19763,14,740
19763,15,769
19763,15,775
19763,16,848
19763,17,886
19763,18,906
19763,18,944
19763,18,945
19763,19,997
19763,19,1000
19763,20,1017
19763,20,1019
19763,21,1051
19763,21,1072
19763,21,1095
19763,23,1183
19763,23,1195
19763,25,1276
19763,25,1281
19763,27,1354
19763,27,1356
19763,27,1366
19763,27,1367
19763,27,1383
19763,29,1459
19763,29,1484
19763,30,1517
19763,30,1527
19763,31,1560
19763,31,1572
19763,31,1574
19763,31,1575
19763,32,1608
19763,32,1641
19763,34,1719
19763,34,1732
19763,34,1750
19763,35,1767
19763,38,1903
19763,40,2034
19763,40,2045
19763,41,2073
19763,42,2107
19763,42,2140
19763,43,2196
19763,44,2247
19763,45,2296
19763,46,2349
19763,47,2359
19763,47,2368
19763,47,2391
19763,48,2449
19763,50,2520
19763,50,2525
19763,52,2608
19763,53,2660
19763,54,2720
19763,54,2729
19763,57,2860
19763,59,2953
19763,59,2961
19763,59,2996
19763,60,3014
19763,60,3038
19763,61,3092
19763,62,3107
19763,63,3169
19763,64,3217
19763,64,3224
19763,64,3225
19763,64,3228
19763,65,3284
19763,66,3314
19763,66,3335
19763,67,3378
19763,67,3382
19763,68,3404
19763,68,3432
19763,68,3446
19763,69,3467
19763,69,3476
19763,69,3489
19763,70,3503
19763,70,3520
19763,71,3568
19763,71,3569
19763,71,3572
19763,74,3734
19763,76,3809
19763,78,3925
19763,78,3927
19763,78,3932
19763,78,3936
19763,78,3941
19763,78,3942
19763,79,3986
19763,79,3996
19763,80,4015
19763,80,4020
