,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,Avg events per file,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
1,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime,48705,2123950,,43.60845909,,,numi_run4_rhc_runs,"4a,4b,4c",,,extBNB reco1,not used,not used,,,,,crt merge Done
2,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2,107127,3091509,,28.85835504,,,,,,,Pndr extunbiased nu,Pandora crt merge Done,crt_merge_extra_v06_26_01_13.fcl (in reco2 Pandora),,,,,
3,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3,89555,4289834,,47.90166937,,,,,,,WC extunbiased nu,,,,,,,
,,,,,,,,,,,,WC extunbiased dirt,crt merge Done (in reco2),crt_merge_extra_v06_26_01_13.fcl (in reco2 Pandora),,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BNB Run 1,,,,3,ub.random delta,Avg Number files for Range,Avg Number of events for Files ,,,,Pndr extunbiased dirt,,,,,,,
BNB Nu,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_bnb_nu,26767,1167182,,"[0.0,0.55)",0.55,,,,,,NuMI reco1,crt merge Done,crt_merge_extra_v06_26_01_13.fcl,,,,,
Int Nue,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_intrinsic_nue,5344,233031,,"[0.55,0.66)",0.11,,,,,,,,,,,,,
NC Delta,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_nc_delta,2524,110749,,"[0.715,0.765)",0.05,,,,,,extNuMI reco1,,crt merge Done,,but done anyway_33.fcl,,,
NC Pi0,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_nc_pi0,2712,119067,,"[0.66,0.715)",0.055,,,,,,extunbiased nu,not used,not used,,,,,
Dirt,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_dirt,2611,113227,,"[0.765,0.82)",0.055,,,,,,extunbiased dirt,not used,not used,,,,,
eLEE High,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_eLee_high,593,25492,,"[0.83,0.843)",0.013,,,,,,,,,,,,,
eLEE Low,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_eLee_low,511,23048,,"[0.82,0.83)",0.01,,,,,,,crt_merge_extra_v06_26_01_13.fcl,v06_26_01_13_33.fcl,,,,,
Full Osc,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_full_osc,588,25790,,"[0.843,0.855)",0.012,,,,,,,,,,,,,
Low Energy,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_bnb_nu_lowE,1186,51415,,"[0.855,0.879)",0.024,,,,,,,,,,,,,
NC Pi0 Extra,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_nc_pi02,702,30567,,"[0.879,0.893)",0.004,,,,,,,,,,,,,
NC Kaon,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_nc_kaon,1167,50961,,"[0.893,0.918)",0.025,,,,,,,,,,,,,
Coherent Pion,pro  d_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_coherent_pion,501,21627,,"[0.420,0.430)",0.01,487.05,21239.5,,,,,,,,,,,
,BNB Run 2,,,,,,,,,,,,,,,,,,
BNB Nu,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_bnb_nu,42717,1229775,,"[0.0,0.4)",0.4,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_intrinsic_nue,8561,246535,,"[0.4,0.48)",0.08,,,,,,,,,,,,,
NC Delta,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_nc_delta,4188,120632,,"[0.48,0.52)",0.04,,,,,,,,,,,,,
NC Pi0,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_nc_pi0,4289,120814,,"[0.52,0.56)",0.04,,,,,,,,,,,,,
Dirt,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_dirt,4196,121488,,[0.56.0.6),0.04,,,,,,,,,,,,,
eLEE High,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_eLee_high,851,24706,,"[0.6,0.6075)",0.0075,,,,,,,,,,,,,
eLEE Low,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_eLee_low,808,23814,,"[0.6075,0.615)",0.0075,,,,,,,,,,,,,
Full Osc,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_full_osc,783,23668,,"[0.615,0.622)",0.007,,,,,,,,,,,,,
Dirt Extra,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_dirt2,7331,213649,,"[0.622,0.69)",0.068,,,,,,,,,,,,,
NC Kaon,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_nc_kaon,1756,50652,,"[0.69,0.7065)",0.0165,,,,,,,,,,,,,
Coherent,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_coherent_pion,720,20281,,"[0.69,0.697)",0.007,749.889,21640.563,,,,,,,,,,,
,BNB Run 3,,,,,,,,,,,,,,,,,,
BNB Nu,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_bnb_nu,31416,1505236,,"[0.0,0.35)",0.35,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_intrinsic_nue,6101,293868,,"[0.35,0.42)",0.07,,,,,,,,,,,,,
NC Delta,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_ncdelta,3216,154359,,"[0.42,0.455)",0.035,,,,,,,,,,,,,
NC Pi0,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_ncpi0,3273,156939,,"[0.455,0.491)",0.036,,,,,,,,,,,,,
