bin_lo_gev,bin_hi_gev,target_no_xs_cv_weight_per_1e17pot,target_no_xs_cv_weight_stat_err,target_xs_cv_weight_per_1e17pot,target_xs_cv_weight_stat_err
0.000,0.050,1.266626e-07,1.266626e-07,0.000000e+00,0.000000e+00
0.050,0.100,1.076632e-05,1.167772e-06,1.833937e-05,3.227291e-06
0.100,0.150,8.967714e-05,3.370273e-06,1.088837e-04,5.161266e-06
0.150,0.200,2.621916e-04,5.762802e-06,3.536682e-04,2.056597e-05
0.200,0.250,4.914510e-04,7.889771e-06,6.328434e-04,2.333689e-05
0.250,0.300,8.133008e-04,1.014962e-05,1.012968e-03,3.225225e-05
0.300,0.350,1.217608e-03,1.241875e-05,1.444224e-03,3.107218e-05
0.350,0.400,1.632808e-03,1.438109e-05,1.951225e-03,3.315346e-05
0.400,0.450,2.105513e-03,1.633064e-05,2.588378e-03,3.657730e-05
0.450,0.500,2.533633e-03,1.791414e-05,3.094477e-03,3.634230e-05
0.500,0.550,3.009251e-03,1.952331e-05,3.571328e-03,3.552153e-05
0.550,0.600,3.364286e-03,2.064290e-05,4.036574e-03,4.058122e-05
0.600,0.650,3.779486e-03,2.187966e-05,4.606757e-03,4.369392e-05
0.650,0.700,3.943641e-03,2.234976e-05,4.742948e-03,4.388637e-05
0.700,0.750,4.114762e-03,2.282951e-05,4.888000e-03,4.359064e-05
0.750,0.800,4.184173e-03,2.302126e-05,4.946840e-03,4.522930e-05
0.800,0.850,4.190887e-03,2.303972e-05,4.942909e-03,4.654818e-05
0.850,0.900,4.284997e-03,2.329697e-05,5.094262e-03,4.866864e-05
0.900,0.950,4.304250e-03,2.334925e-05,5.044338e-03,4.959225e-05
0.950,1.000,4.375054e-03,2.354052e-05,5.137053e-03,5.019160e-05
1.000,1.050,4.421286e-03,2.366457e-05,5.179792e-03,5.148052e-05
1.050,1.100,4.440285e-03,2.371536e-05,5.215488e-03,5.313070e-05
1.100,1.150,4.406466e-03,2.362487e-05,5.083949e-03,4.853350e-05
1.150,1.200,4.386327e-03,2.357082e-05,5.114332e-03,5.072529e-05
1.200,1.250,4.297790e-03,2.333172e-05,4.941943e-03,4.924026e-05
1.250,1.300,4.212926e-03,2.310022e-05,4.811013e-03,4.671665e-05
1.300,1.350,4.088670e-03,2.275701e-05,4.668529e-03,4.517286e-05
1.350,1.400,4.023312e-03,2.257439e-05,4.615617e-03,4.598722e-05
1.400,1.450,3.869543e-03,2.213880e-05,4.404199e-03,4.477723e-05
