MaCCQE,CoulombCCQE,MaNCEL,EtaNCEL,NormCCMEC,NormNCMEC,FracPN_CCMEC,FracDelta_CCMEC,MaCCRES,MvCCRES,MaNCRES,MvNCRES,NonRESBGvpCC1pi,NonRESBGvpCC2pi,NonRESBGvpNC1pi,NonRESBGvpNC2pi,NonRESBGvnCC1pi,NonRESBGvnCC2pi,NonRESBGvnNC1pi,NonRESBGvnNC2pi,NonRESBGvbarpCC1pi,NonRESBGvbarpCC2pi,NonRESBGvbarpNC1pi,NonRESBGvbarpNC2pi,NonRESBGvbarnCC1pi,NonRESBGvbarnCC2pi,NonRESBGvbarnNC1pi,NonRESBGvbarnNC2pi,AhtBY,BhtBY,CV1uBY,CV2uBY,AGKYxF1pi,AGKYpT1pi,MFP_pi,MFP_N,FrCEx_pi,FrInel_pi,FrAbs_pi,FrCEx_N,FrInel_N,FrAbs_N,RDecBR1gamma,RDecBR1eta,XSecShape_CCMEC,RPA_CCQE
9.30123,1.01268,-0.676191,1.63089,0.131934,-0.218476,-0.571217,-0.144778,0.442053,-0.179057,0.179307,0.748317,-0.365909,-2.09848,0.887625,-0.54425,-0.508503,0.479655,-0.625567,-1.8239,-1.42856,-0.139336,2.40282,1.64627,-1.86616,0.429913,0.647457,-2.77555,-1.18633,1.3784,0.735719,0.728241,-0.140792,0.651507,1.74249,-0.149891,-0.249482,-0.649054,1.43659,0.166464,2.16671,1.21813,-0.116749,-0.886613,1.0,0.151
1.87951,-0.505197,-1.52372,-0.590569,0.0422252,-1.30274,0.285126,-0.398092,1.73425,0.276196,0.837116,-1.26339,0.103972,-0.170545,0.904013,2.65798,0.693655,-0.141249,-0.0244448,0.746142,-1.97873,1.57596,-0.262098,-1.57394,0.739996,0.720752,0.479282,-1.21035,-0.6005,0.405317,-1.73942,1.87803,-0.5468,-0.577692,0.413735,0.9835,-0.813496,-0.861713,1.36748,-1.20298,-1.47495,-0.450136,-1.84206,0.153761,1.0,0.151
-3.23048,2.64824,-0.827417,0.374072,-0.23521,1.18326,0.923708,0.0319099,1.67307,0.522873,0.0950587,0.297419,0.588585,-0.999663,-1.70767,0.103933,0.37428,-0.290197,-1.13118,-0.606739,-1.15671,-0.266131,0.54881,-0.471377,1.91086,-0.0623907,1.56564,1.64999,-1.35508,-1.41596,-1.41444,0.692779,-1.70957,0.336151,-0.783001,-0.142277,-0.102434,-1.8757,1.23072,-1.0238,0.482545,-1.10012,-1.01624,-1.16948,1.0,0.151
7.60767,-0.371268,0.735236,1.36506,1.26161,0.700334,0.346822,-1.41797,-0.485342,0.18812,-0.956559,-0.833455,-0.299517,1.56019,-1.37696,0.133283,-0.551149,0.38094,0.301145,-0.885598,-2.04898,2.18169,0.28704,0.230979,-1.94241,0.602468,0.347375,0.717978,-1.03411,-0.121234,-0.506032,0.484511,0.283759,-0.387437,-0.472296,0.421239,0.000523222,0.37176,-1.20159,1.10675,-0.639253,0.973355,0.158259,0.458671,1.0,0.151
2.69695,-0.24796,1.54052,-0.954769,0.495629,0.531475,-0.113693,0.129156,-0.677767,-0.974898,-0.254029,-0.890615,-0.245753,0.374872,0.682414,-0.729021,1.28629,-2.41987,2.06167,0.409013,-0.414779,-1.17776,-0.947123,0.356206,-1.42024,-1.36684,-0.348415,-1.2688,-0.811073,-1.21631,0.804881,2.30677,1.07901,0.578666,-0.880304,-2.18051,1.03787,-0.5422,-0.30611,-0.448468,-1.46363,0.970326,-0.427051,-0.359723,1.0,0.151
10.7714,0.2491,-0.401183,1.24414,1.61293,-0.128663,0.531277,-0.0800317,-0.679576,0.284184,-1.47682,-1.10324,0.432592,-1.31446,2.01279,-0.873999,-0.319497,-1.70312,0.578668,2.63554,-0.376644,1.11139,0.419525,-0.959036,0.124633,0.984455,3.23687,0.611749,-0.13835,-0.454905,-2.38526,-0.553033,-0.0622958,0.418833,0.667256,0.962866,0.0358831,1.14481,0.247138,-1.01031,1.01499,0.199303,-1.49894,-0.571433,1.0,0.151
4.18075,-0.319627,1.7433,0.976981,0.702591,0.70068,-1.02027,0.949156,-0.45529,0.0101389,0.0520448,-1.97483,0.964358,-0.701567,-0.525737,2.05039,1.59377,0.384842,0.628863,0.244116,1.49935,-1.19322,1.31828,-1.03239,-0.701286,-0.519096,-0.506572,-0.557134,0.852604,-1.46113,-0.259793,-2.25832,-0.293143,0.684531,-0.0408322,-0.643629,-0.0244895,-0.120071,-1.1209,1.2179,0.728231,1.76099,0.324356,-0.0825923,1.0,0.151
5.17213,-2.32373,0.424513,-0.643627,1.10664,-1.13097,-0.251321,0.606819,0.883626,-2.41985,0.500649,-0.076146,0.292774,0.95605,-0.958338,-0.109324,-0.844736,-1.27027,0.872201,-0.403012,-1.52763,0.468894,-0.163927,-0.316442,-0.320926,-0.312761,0.712444,0.475539,-0.637108,-0.590486,-1.03717,-0.433175,0.536495,-0.792239,1.71357,0.767939,-1.02996,1.95422,-0.134407,-1.08568,-0.616999,0.148709,0.91424,-0.735453,1.0,0.151
8.23117,-0.638833,-2.08135,-1.28742,2.64486,1.13211,-0.321444,0.227199,1.22965,-1.51177,-2.19055,-0.147932,-1.77976,1.00101,-1.05985,1.245,2.54234,-1.49576,-0.82897,-0.310827,0.141158,-0.590901,-0.284874,-0.834214,0.99261,1.2663,-0.632546,-1.09575,-0.728447,0.517217,-1.1895,-0.390277,1.0074,0.756381,-0.686265,0.181305,-0.310731,-0.0691344,0.0042472,1.82311,0.0623564,1.66631,-1.13741,-0.685852,1.0,0.151
8.0868,1.11832,-0.700661,-0.15936,1.13009,4.58625,-1.59685,1.46666,-0.121818,0.435702,-1.20403,1.45176,1.80525,-0.522775,0.368086,-1.22239,0.020544,0.696642,0.994085,0.830462,-0.664328,0.865065,1.76197,0.194234,0.221909,-1.08823,-0.640733,0.0333579,0.0353597,-0.426916,-0.256746,1.21169,-0.462866,2.47766,-0.214814,0.527938,1.37756,0.510787,-2.1415,-1.13185,-0.400929,0.651115,1.22972,0.410357,1.0,0.151
